# z_BAO, mB_bar_BAO, mB_bar_BAO_err
0.106 19.151534885833225 0.02783083681315368
0.15 19.90663980049615 0.018148082376372443
0.295 21.561238853051524 0.015301407032444203
0.38 22.183357891638355 0.018909722922634487
0.51 22.896880665779896 0.01996747409588373
0.706 23.761105548661043 0.030341744919809344
0.85 24.225995523297634 0.08632942076259909
0.934 24.55581347698436 0.10477454156279364
1.321 25.336360600668616 0.10934901713669198
1.484 25.447617480171 0.07959225672625081
2.33 27.0820815705429 0.18512928627682435
