# z_da_sorted  da_sorted  da_sorted_std
7.000000000000000666e-02 2.899575710296858801e+02 3.175636217971799269e+01
8.999999999999999667e-02 3.635542897720246742e+02 3.800390477007008627e+01
1.059999999999999970e-01 4.087018092686898285e+02 3.238278635291133156e+01
1.199999999999999956e-01 4.672248160455478683e+02 4.563234947549346288e+01
1.499999999999999944e-01 5.908156837146448197e+02 3.788129876081825387e+01
1.700000000000000122e-01 6.239685660044532369e+02 5.495430947805424182e+01
1.789999999999999925e-01 6.502393657302962993e+02 5.630128620178958698e+01
1.990000000000000102e-01 7.066840698638407048e+02 5.903673020173398100e+01
2.000000000000000111e-01 7.094418163645576669e+02 5.916584392917198443e+01
2.700000000000000178e-01 8.872558182058794500e+02 6.687887143294830139e+01
2.800000000000000266e-01 9.104290822320175494e+02 6.784773080240300658e+01
2.949999999999999845e-01 9.221474641167009167e+02 3.291486404398375498e+01
3.519999999999999796e-01 1.062739037205764134e+03 7.433998223684737638e+01
3.800000000000000044e-01 1.090384565217391355e+03 1.811978260869565460e+01
3.801999999999999824e-01 1.116065712595839159e+03 7.672325762160362217e+01
4.000000000000000222e-01 1.151565100466472586e+03 7.833509304323581546e+01
4.003999999999999782e-01 1.152267072724568834e+03 7.836718647689940553e+01
4.247000000000000219e-01 1.193714424361904548e+03 8.027279712027410596e+01
4.496999999999999886e-01 1.234059545759069124e+03 8.215269407736334983e+01
4.699999999999999734e-01 1.265180819368675202e+03 8.361658936425484967e+01
4.783000000000000029e-01 1.277497754632672468e+03 8.419959518720339986e+01
4.799999999999999822e-01 1.279995967674978374e+03 8.431820501058466277e+01
5.100000000000000089e-01 1.323517768211920384e+03 1.646239072847681939e+01
5.929999999999999716e-01 1.425534051956528856e+03 9.117239285722429543e+01
6.800000000000000488e-01 1.513494449625410653e+03 9.519156794886694684e+01
7.059999999999999609e-01 1.495644917936694128e+03 1.551946072684642353e+01
7.500000000000000000e-01 1.571150188950854044e+03 9.755779583108392217e+01
7.810000000000000275e-01 1.593296644787254309e+03 9.832415074449573922e+01
8.499999999999999778e-01 1.550408108108108081e+03 7.950810810810810381e+01
8.750000000000000000e-01 1.649238778376989558e+03 9.968822415520722302e+01
8.800000000000000044e-01 1.651782405690024007e+03 9.972529899963758737e+01
9.000000000000000222e-01 1.661564971833903655e+03 9.984208970345724765e+01
9.340000000000000524e-01 1.640806442605997745e+03 1.163638572905894364e+01
1.036999999999999922e+00 1.713751812290082398e+03 9.960079507874604587e+01
1.300000000000000044e+00 1.764483728217110865e+03 9.689989235802649148e+01
1.320999999999999952e+00 1.749426734166308051e+03 2.027953468332615472e+01
1.362999999999999989e+00 1.770698966326758182e+03 9.607301639293773121e+01
1.429999999999999938e+00 1.775741568169609764e+03 9.513059118342454212e+01
1.483999999999999986e+00 1.807181847826087051e+03 4.488495169082125358e+01
1.530000000000000027e+00 1.780921861224777558e+03 9.364879139741826464e+01
1.750000000000000000e+00 1.784869600506615143e+03 9.054567419744957135e+01
1.965000000000000080e+00 1.782315623052464389e+03 8.905532114403352750e+01
2.330000000000000071e+00 1.722145621621621558e+03 2.345489189189189361e+01
