# z_cp  mB_cp  mB_cp_std
4.999999999999999237e-03 1.251781738589304638e+01 3.676435189835738915e-02
5.957290789039624071e-03 1.282860913953179782e+01 4.424492505542339943e-02
7.097862709035261848e-03 1.315746682931327705e+01 6.458690771641055484e-02
8.456806427680721439e-03 1.340484085804534331e+01 5.943946465708390553e-02
1.007593100726267982e-02 1.395963543553488861e+01 6.058244966110740842e-02
1.200505019611293467e-02 1.437006998527970225e+01 6.111672658446809514e-02
1.430351499105237713e-02 1.461138106916713042e+01 4.173142416568900726e-02
1.704203962141730144e-02 1.503206044959413390e+01 3.282750817431120266e-02
2.030487713262350488e-02 1.540668896825478384e+01 2.885392375219007766e-02
2.419241150295186119e-02 1.573602230075150565e+01 2.196363406529124734e-02
2.882424604223824544e-02 1.614263547566529766e+01 2.181997989891916109e-02
3.434288308968755365e-02 1.660108878575064040e+01 2.323758617380039526e-02
4.091810821985204794e-02 1.694595884790776097e+01 2.745784853428031094e-02
4.875221384061020208e-02 1.729206642138776928e+01 2.556646731594053312e-02
5.808622289159141860e-02 1.772951977176067473e+01 3.267608334779785462e-02
6.920730412043599178e-02 1.808371970239284821e+01 3.373282498524374923e-02
8.245760707418743618e-02 1.853423737457679366e+01 3.637862613433073822e-02
9.824478862186103445e-02 1.897483987228429214e+01 4.945047276445004025e-02
1.170545548656314605e-01 1.927647217953586534e+01 3.157172562589301290e-02
1.394656043032318493e-01 1.975339443442064180e+01 2.310958867073210563e-02
1.661674319806975553e-01 2.007862291588921622e+01 2.160307527023117707e-02
1.979815423953954767e-01 2.058956927602287834e+01 1.812886500826648567e-02
2.358867237823893404e-01 2.097161335230992663e+01 1.723447188351086290e-02
2.810491613691122881e-01 2.142208512314182300e+01 1.758948779245662203e-02
3.348583160583047391e-01 2.187267486339022327e+01 1.577312685632885694e-02
3.989696723774914244e-01 2.229049491512741454e+01 2.124702322226467918e-02
4.753556708721170532e-01 2.273810927387706826e+01 2.323490179960848584e-02
5.663663919208422604e-01 2.316287963422014329e+01 2.557648203352629393e-02
6.748018579623279445e-01 2.365251052500110873e+01 3.351459556394981165e-02
8.039981785731593611e-01 2.404744191382078355e+01 4.475231274359323108e-02
9.579301887237035018e-01 2.469541419706905927e+01 1.058611475846652772e-01
1.141333737965340545e+00 2.545196772262978158e+01 1.438778995008578865e-01
1.359851392880217391e+00 2.559007821396772897e+01 8.556067387302632166e-02
1.620206035453604532e+00 2.607160323263245161e+01 1.375042924591673710e-01
1.930407698270831141e+00 2.627800372618877489e+01 2.059136517400375066e-01
2.299999999999999822e+00 2.703620059152982336e+01 2.074344900329292418e-01
