# z_match  mB_match  mB_match_std
1.059999999999999970e-01 1.911463248892188460e+01 2.875259891402203935e-02
1.499999999999999944e-01 1.987532164476841601e+01 1.484752953907640671e-02
2.949999999999999845e-01 2.156118326907612825e+01 1.496451749637587453e-02
3.800000000000000044e-01 2.217618096517450965e+01 1.278855150409599628e-02
5.100000000000000089e-01 2.290508861754788583e+01 1.781668068540791239e-02
7.059999999999999609e-01 2.375483867370574842e+01 2.251583505320974704e-02
8.499999999999999778e-01 2.413869459800566020e+01 8.551762248309058290e-02
9.340000000000000524e-01 2.449484696142832973e+01 8.824925314443700375e-02
1.320999999999999952e+00 2.556454038749858881e+01 6.987438222913666674e-02
1.483999999999999986e+00 2.575724898401122331e+01 9.936415308802427904e-02
2.330000000000000071e+00 2.695172879962071733e+01 1.856449890932036217e-01
